No.,Hotel Name,Ratings,Reviews
0,Royal Plaza on Scotts,4,difficult get taxi grab app really helps great location shopping food starbucks kiosk outside hotel 
1,Royal Plaza on Scotts,4,service charge breakfast location 
2,Royal Plaza on Scotts,4,booked rooms one room  bathroom door secured bottom track afraid fall slide door chair beside bed see dust love location near everywhere u want go booked deluxe king upgrade premier king needed  rooms close 
3,Royal Plaza on Scotts,4,slow room service take calls  pm easily call landline best location clean good veg food options buffet extremely comfortable stay highly recommended also indian vegetarian families 
4,Royal Plaza on Scotts,4,nothing near shopping areas 
5,Royal Plaza on Scotts,4,executive lounge anymore booked basis still existed afternoon tea evening cocktails told advance discontinued location housekeeping room always made high standard day 
6,Royal Plaza on Scotts,4,nothing strategic location shopping 
7,Royal Plaza on Scotts,4,near orchard road shopping food mrt access easy connection shops underground good rainy days get wet 
8,Royal Plaza on Scotts,4,maybe rooms need little make changed lot since last stay back  say  star hotel maybe really really good  star hotel staff really friendly helpful messages answered quick also request early check connected rooms considered happy rooms really clean location perfect explore singapore mrt station  min walk away lot shopping malls food places around hotel would come back 
9,Royal Plaza on Scotts,4,coffee machines breakfast suit taste clean rooms efficient lift service th floor looked better th floor 
10,Royal Plaza on Scotts,4,warm breakfast choices could better staff upsell singapore tourists reason make recommendations tourist attractions etc neither give local travel advice would suggest little friendlier approach customers well apply hotel also taxi drivers countries taxi drivers love meeting tourists conversing singapore ask destination end give amount owing thats room clean well serviced aircon also effective 
11,Royal Plaza on Scotts,4,bit noisy day time ok hotel manage check check line people line waited check location comfy bed service 
12,Royal Plaza on Scotts,4,difficult get cabs amenities room inadequate clean room every day alternate days rates charged location 
13,Royal Plaza on Scotts,4,reception took long checking us almost took  mins get room check good location middle orchard road 
14,Royal Plaza on Scotts,4,none breakfast basic location city center 
15,Royal Plaza on Scotts,4,foreigners breakfast buffet could bit variety heart central business district perfect location 
16,Royal Plaza on Scotts,4,review hidden meet guidelines
17,Royal Plaza on Scotts,4,cleaning room stays appreciate due covid restrictions think least method guest clear garbage room everyday location bed size 
18,Royal Plaza on Scotts,4,hotel cleans room every second day hotel stature rooms cleaned every day early possible guest convenience 
19,Royal Plaza on Scotts,4,nothing spacious room perfect location near shopping dining 
20,Royal Plaza on Scotts,4,despite knowing fact nobody handle baggage still unpleasant welcome hope fix soon location room size great 
21,Royal Plaza on Scotts,4,taste breakfast water pressure room slow 
22,Royal Plaza on Scotts,4,breakfast closes  family young kids would preferred breakfast timing am least   spread fine needs vegetarian options room service well good vegetarian options snacks least could accommodating requests booked super twin room family   adults  kids seemed bit small us requested check better options available suggested junior suite additional cost checked took check check process smooth suite comfortable staff excellent helpful friendly breakfast fine 
23,Royal Plaza on Scotts,4,readily available concierge bell service help guests bring luggage room also noticed rooms cleaned daily something expected book hotel 
24,Grand Copthorne Waterfront,4,aged rooms need upgrade efficient checkin concierge location fabulous size room comfortable river view room best view 
25,Grand Copthorne Waterfront,4,staff friendly supportive location good 
26,Grand Copthorne Waterfront,4,hotel rooms modern seem updated years addition quite bit dust behind bed great location close downtown staff service excellent 
27,Grand Copthorne Waterfront,4,price clean upmarket expensive 
28,Grand Copthorne Waterfront,4,carpet corridor room smells bad hot water time aircon work properly always  degrees get sick second night location house keeping good concierge helpful 
29,Grand Copthorne Waterfront,4,early check small waiting area booked  rooms travelled almost  hours needed crash least one approx    would ok even one  offered pay extra point us waiting area   chairs may ok chairs waiting since vastly empty large room area compared singapore standards good location even better havelock road metro starts literally   steps away hotel 
30,Grand Copthorne Waterfront,4,rooms bit tired basic lobby 
31,Grand Copthorne Waterfront,4,surfaces bathroom looked need repair moreover wifi login page would work granted linux operating system doubt reason however sure hotel pays company service set maintain wifi good reason company ensure access even linux hotel demand liked room interior rooftop pool breakfast also location excellent 
32,Grand Copthorne Waterfront,4,city transport needdd good sized comfortable room 
33,Grand Copthorne Waterfront,4,food restaurant quite expensive although  star hotel room lack quality match price friendly staffs helpful 
34,Grand Copthorne Waterfront,4,bad lead poor breakfast clean large club lounge room 
35,Grand Copthorne Waterfront,4,room little old tired tv small unusable honest needs tlc view 
36,Grand Copthorne Waterfront,4,cocktail menu poolside room service variety limited suite could update deco late check hair dresser site 
37,Grand Copthorne Waterfront,4,tv channel limited choice check late check time early overall good environment comfortable staff approachable good breakfast feel amaze grisini dining great surprise us staffs also professional friendly food wonderful 
38,Grand Copthorne Waterfront,3,fridge work properly selection reception tv programs terrible construction going outside noisy times location breakfast 
39,Grand Copthorne Waterfront,4,given  complimentary parking ticket per day rejected asked nd ticket found car park mostly empty hence understand rejection hotel consider provide least  coupons 
40,Grand Copthorne Waterfront,4,rooms balconies great location river great views buffet breakfast amazing 
41,Grand Copthorne Waterfront,4,expect cost superb put weight 
42,Grand Copthorne Waterfront,4,reasonably priced good location 
43,Grand Copthorne Waterfront,3,dated staff friendly accommodating size room cocktails 
44,Grand Copthorne Waterfront,4,honest couldnt fault hotel bed comfortable staff couldnt help enough hotel central great area big room money pay awesome view really pleased staying 
45,Grand Copthorne Waterfront,4,toilet great standard flush without water jet bidet accessories less room size staff great 
46,Grand Copthorne Waterfront,3,rooms dated cleaning done done well staff friendly especially concierge 
47,Grand Copthorne Waterfront,4,room smell like humidity 
48,ibis Styles Singapore Albert,4,location near mrt station 
49,ibis Styles Singapore Albert,4,breakfast location great next metro 
50,ibis Styles Singapore Albert,4,comment reasonable price 
51,ibis Styles Singapore Albert,4,rooms small location nearby subway kidness staff 
52,ibis Styles Singapore Albert,4,lack hairdryer bad ac location 
53,ibis Styles Singapore Albert,3,problem room sent partner hotel city running maintenance work hotel access swimming pool gym breakfast nearby cafe hold deposit  weeks stay room nice clean well designed 
54,ibis Styles Singapore Albert,4,cleanliness found hair coffee cup accommodative staff great location good shower 
55,ibis Styles Singapore Albert,4,rooms quite small near eateries metro 
56,ibis Styles Singapore Albert,4,room size noise guest rooms staff alway ready help 
57,ibis Styles Singapore Albert,3,breakfast poor comfortable room friendly staff 
58,ibis Styles Singapore Albert,4,bed hard bearable hotel located right spot 
59,ibis Styles Singapore Albert,4,pillows high extremely poor sound proof could hear everything including continuous cough next door guest average breakfast sticky floor room service friendly staff bottled water provided tidy room good air conditioning good wi fi coverage close train stop 
60,ibis Styles Singapore Albert,3,hot water first two days small room  single beds fonctional 
61,ibis Styles Singapore Albert,2,tiny room comparing price bath tube problem drain nothing 
62,ibis Styles Singapore Albert,1,caution hotel takes holding deposit full room price holds month charges full amount room rip also tried charge breakfast already paid inclusive fully denied daughter entry kitchen without paying already paying facilities limited hotel crowded also found staff consumed making money concerned sort service good location 
63,ibis Styles Singapore Albert,1,breakfast good 
64,ibis Styles Singapore Albert,5,nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic 
65,ibis Styles Singapore Albert,0,get room reserved hot water strong cigarette smell room unpleasant reception staff response complaints nothing 
66,ibis Styles Singapore Albert,4,breakfast coffee location 
67,ibis Styles Singapore Albert,4,sad say first two nights room  delute twin beds beds move easily light whenever turned body bed move luckily girl reception let us change room  welldone girls thanks alot like room  front door directly ascess swimming pool little garden nicely decorated 
68,ibis Styles Singapore Albert,5,good one stay 
72,Mercure Singapore On Stevens,4,staff best helpful happy offer help 
