No.,Hotel Name,Ratings,Reviews
0,Grand Copthorne Waterfront Singapore,5,food capital best buffet with star service me and my husband celebrated his birthday dinner at food capital dinner is fantastic with the most awesome staff i would like to highly commended mr ibrahim for being so professional thoughful with a star service grand copthorne waterfront is lucky to have him as part of the team thank you for giving us the best experience
1,Grand Copthorne Waterfront Singapore,5,hotels favourite gcw turned my qo into a staycayvacay what a wonderful experience trashing my initial thoughts of how to cope with being imprisoned all be it even at a star hotel the moment i arrived at am on the th june was a breeze with courtesy received entering the room was a relief with spacious very clean and well equipt with neccesities the bed and pillows were very comfortable the view gave me the serenity needed for this situation as it faces the singapore river and city view even batam can be seen on a clear day very good wifi connection helps keep my sanity intact most of all what was more stunning was the great guest oriented hotel personnel which truly was amazing and what guests always expected nomatter what the situation or reason to stay can be i must humbly commend them for making mine a pleasantly memorable one to jiun lee and cheryl from one touch for keeping me company with their friendly and sincerity i can feel just over our daily telephone conversations and i was very pleasantly surprised that them knowing im a bts army presented me with an encouragement greeting card with bts poster print now that was awesome liya hope i spelt it correctly from the same department was enthusiastic when we spoke on my checking out day to all of you gamsahamidah to gcw hotel manager mr terence ng my sincere appreciation for taking good care of me in making my stay trouble and stress free you have a great team to kelvin whom i met briefly at the lobby upon my departure i appreciate your courtesy to everyone from housekeeping in room dining to certis cisco the moh i thank you all very much from the bottom of my heart grand corpthorne waterfront you are indeed fantabulously grand
2,Grand Copthorne Waterfront Singapore,5,excellent hotel and staff this is our fourth stay at this hotel in the past years and we are very happy to return again and again apart from a couple of really minor issues with the room and a failed poolside drinks order only once i cannot fault it the staff are extremely friendly and helpful especially shirley jennifer and kenneth on the club level th floor the pool is nice but was much busier this year we think because of the increased popularity of formula one now the food at tempo was very good indeed and the bar staff very attentive and friendly my only wish is that the bar would stay open later the breakfast selection certainly caters for a wide range of cultures and was very good thank you for a wonderful stay
3,Grand Copthorne Waterfront Singapore,1,overcharged be careful we stayed for nights from new zealand to visit our new grand daughter and were incorrectly charged for and now after numerous emails requesting they refund us for their mistake we have had to lodge a dispute with amex to get our money backwe actually checked out at front counter and they said they would email our account and once we didnt receive it checked our card on return to new zealand they were clearly short staffed as long queues at reception so someone has made a mistake at reception our room also smelled damp and of some chemical and we so bad we had to request a room change as it was extremely pungent we operate a resort ourselves and i am absolutely gobsmacked that a hotel of this size operates in such a poor and unprofessional manner we will eventually get our money back via amex needless to say i would warn anyone contemplating staying here to book elsewhere
4,Grand Copthorne Waterfront Singapore,1,needs a refurb and a bar that stays open past we stayed here for the f weekend and to visit our son in singapore as it was a busy weekend the choices of hotels was limited we were allocated a room which smelled of damp and soon as we opened the door severe evidence on the corner wall and the lampshade in room even outside the room the hall carpet was smelly and obviously had some sort of leakage personal accident we were quickly allocated another room it is in need of a serious refurb decoration and furniture was in poor condition not sure why it wasnt done during lockdown it did have a great view though during the f weekend the bar closed one night and the next night for a supposed international hotel it was a joke on the plus side the doormen for fabulous and very attentive this is supposed to be a hotel but was more like a i do not recommend staying here
5,Grand Copthorne Waterfront Singapore,4,service with a smile rooms are slightly run down quite surprised they didnt renovate during the lock down period but the attitude and services of the staff there reminded me why it was a star had such a great experience at the level executive club where staff indulge us in beverages and food held a conversation with us
6,Grand Copthorne Waterfront Singapore,3,grandcopthorne clean and staff were fantastic a bit far from the city but will be better once new train station opposite opens the company that owns the hotel lacks integrity and transferred our booking and overcharged us for our room i wont stay in one of theyre hotels again
7,Grand Copthorne Waterfront Singapore,3,average hotel but ok very over priced hotel but it was the racing weekend but even so too expensive clean and tidy rooms polite staff location not great but easy to get a taxi concierge was disappointing as when i arrived with luggage i wasnt welcomed or helped to my room with my luggage i had to take it up on my own
8,Grand Copthorne Waterfront Singapore,4,vibrant quite efficient hotel good location and view from the rooms river view good restaurants specially there seating by the river walking distance across to shops restaurants and clark key good place to relax after a busy day
9,Grand Copthorne Waterfront Singapore,5,great hotel for business club level great front mgr navin seh is great service highly recommend the grand copthorne waterfront especially for business travel perfect location in robertson quay walking distance to many restaurants cafes on the waterfront and also restaurantscafes downstairs inside the hotel for easy business catchups the club level rooms are particular nice and modern great views quiet and clean solid and enjoyable good to relax after a busy day of meetings easy access to other parts of the city everything in a short min grabgojek or you can walk all along robertson quayclarkson quay the front desk manager navin seh was particularly helpful for our booking of several rooms and also helping with extending stay ended up staying here for additional days very professional and helpful ask for navin seh if you need anything hes the best great stay perfect place for business travel the rooms were very spacious room service food from downstairs is convenient and great and neighborhood is convenient and walkable thanks for the great stay highly recommend will stay again on next trip thanks
10,Grand Copthorne Waterfront Singapore,1,the hotel double charge to my credit card the good hotel double charged to my credit card i paid payment when i made a room reservation upon checking out the staff charged once again to my card without any notification from my bank card until i saw my bank statement thereafter i called to the hotel no respond emailed them no respond whatsapp to the number they given during room reservation the operator push the ball back to enquiry email purposely made second trip returned to the hotel the staff admitted that they double charge to my card will assist to raise a refund and give me a black and white their mistake eventually one of the duty manager replied to my email assure that will refund the amount within days today was day i yet to receive the refund amount i emailed once again to
11,Grand Copthorne Waterfront Singapore,3,low level star hotel tired and old decor good location i stayed here for nights last week i was a lil concerned due to recent reviews but to be honest i thought it would be worse that what i experienced the check in process was ok i was expecting a disaster as i got a checkin email asking what time i would arrive and a time slot option i should pick as there were many ppl expected the first time ive received anything like this from all of my travels the rooms were a bit disappointing old carpet the type you dont want to walk on with wet feet deliberately darker colored the shower was pretty bad looked like it hasnt been upgraded since the s the location of the hotel is its best feature close to henderson and clark quay and all of the bars coffee shops restaurants etc the breakfast was
12,Grand Copthorne Waterfront Singapore,3,one night stay very impressive hotel when viewed externally upon arrival room was small and starting to show its age definitely time for some refresh renovations staff were good but the reservation desk seemed to take a lot of key strokes and a bit of time on check in
13,Grand Copthorne Waterfront Singapore,5,good location good location for a business trip to access all but no restaurant around the hotel the price was a little higher due to f racing i think there is no shopping center or restaurant nearby so it is not a good location to go out late in the evening so its not good for tourists but i want to recommend it to business travelers
14,Grand Copthorne Waterfront Singapore,5,best service experience ever a big thanks to your excellent lounge team shirley jenifer kenneth n also to your night managerrodney shirley is just amazing in word her colleague jennifer a beautiful sweet lady took good care of us when we came for evening cocktail kenneth a friendly gentleman made sure we were comfortable n wellserved at all times we enjoyed some really nice cold beer service at the lounge is a top notch and rodney hes so accommodating n a very nice boy addressed to all our needs in the middle of the night we were really moved as he made our long hard days so much better i was taken aback when told by of the bell captain that he is the night managerbecause he has got the look of a kid who will never grow up very adorablenot an insult but rather a compliment the
15,Grand Copthorne Waterfront Singapore,5,family vacation pleasant stay i would say overall i truly enjoyed the stay during my trip to singapore although the hotel has its flaws i received excellent service especially from rodney who perfectly handled my complaint regarding the room he responded quickly and gave my family and i a great solution which made my stay at this hotel even more memorable frankly speaking id only wanted to rate this hotel to stars due to the poor condition of the room but after how calmly and tactfully rodney handled my complaint i decided to give you guys stars
16,Grand Copthorne Waterfront Singapore,5,shirley chng is simply the best i had a terrible time in singapore until i met shirley chng i moved hotels twice from top hotels came to copthorne to move away from f congestion i can honestly say she is simply amazing effective and made our stay absolutely perfect in every possible way
17,Grand Copthorne Waterfront Singapore,1,poor condition and cleanliness of rooms hotel rooms are apparently due a refurbishment in october however the current rooms are very run down and most disappointingly unclean and full of dust issues noted during last stay dusty rooms floor has not been dusted enough despite whatever sg clean standard is meant to be ripped furniture leather and cloth covering on chairs mould on sink joining to the basin rusty water sprinklers stains on furniture including bed frame and desk badly in need of a refresh and actually maintaining cleanliness standards staff are friendly and professional just let down by the current standards of the rooms at current prices and positioning as a star hotel you are probably better off findind something else in singapore
18,Grand Copthorne Waterfront Singapore,4,good stay for vaiue for what you pay it was a very valuable stay with great amenities and service checkin and departure was a seamless process and the stay was enjoyable with good proximity to key areas in singapore only area for improvement i suggest is knowing when the staff will come in to clean my bedsheets didnt seem like they were new ones more so just tidied
19,Grand Copthorne Waterfront Singapore,5,hidden gem rooms were spacious staff very efficient and courteous breakfast was scrumptious and hotel is conveniently located near bus stops etc it would have been nice if we had river views but overall all good
20,Grand Copthorne Waterfront Singapore,4,great location and facilities great location as it is central to everything facilities are great and the restaurant has a great choice of food to suit everyone all staff were excellent especially as the hotel was extremely busy which was nice to see
21,Grand Copthorne Waterfront Singapore,1,fake star hotel i dont know how this hotel is rated star we arrived at pm and no one came to pick our luggage from the taxi we were ok fine then they gave us a twin room smaller than the one we already booked and paid for because there was the big one was not available and they will move us to the bigger room in the morning and this without a compensation then the worst thing which is the room itself just have a look at the pics and you be the judge i would never book this hotel to any one its like paying for star hotel and getting star experience
22,Grand Copthorne Waterfront Singapore,5,wonderful experience we had a wonderful experience at the grand copthorne waterfront hotel shirley jennifer made our experience extra special with amazing service friendly service always they even surprised me with a birthday cake on my birthday which ill never forget nothing was ever a problem we always had everything we needed they went to any length to make sure our stay was comfortable enjoyable these are the people you want to be working in a hotel to make it memorable to always have a wonderful stay on holidays there hospitality knowledge on servicing customers is beyond star thankyou for an unforgettable holiday experience in singapore
23,Grand Copthorne Waterfront Singapore,5,amazing experience at singapore loved the hotel experience and multi cuisine breakfast options would love to visit again and stay at grand copthorne hotel and experience the beauty of singapore while staying in grand copthorne hotel
24,Grand Copthorne Waterfront Singapore,5,thanks to jennifer at club lounge and rodney for handling our requests well normally i dont fancy writing reviews after every staycation but our recent stay at grand copthorne prompted me to special thanks to jennifer for her wonderful service in the lounge and rodney at the reception my wife and i arrived in the wee hours of the morning after a hr flight and we were warmly greeted by a lovely boy rodney who gave us the best hospitality he was very polite and accommodating to our requests and even walked us to the elevator after checking us in we had a room with lounge access which was delightful wed like to thank jennifer for taking care of us whenever we showed up the service rendered by her was beyond amazing she was extremely welcoming and friendly thank you both once again for making our stay a memorable one we will
25,Grand Copthorne Waterfront Singapore,5,lunch nice paranakan lunch buffet good spread and very worth it the ambiance is good and clean the staffs are friendly and helpful especially me ibrahim for his awesome service i have a great experience eating here
26,Grand Copthorne Waterfront Singapore,5,stay in executive suite access to club lounge had a great time at the grand copthorne waterfront hotel service is top notch by shirley jennifer at the club lounge also leaving a note to serene who planned our wedding a year back to ensure we enjoyed our anniversary stay glad to have had our wedding here at the grand ballroom last year
27,Grand Copthorne Waterfront Singapore,5,happy hour cocktails in club executive lounge amazing hospitality in the executive lounge accommodating friendly staff great view highly recommend good value for money and a very happy way to spend hours staff anticipate your needs and are ovely
28,Grand Copthorne Waterfront Singapore,5,thank you for the hospitality my family and i stayed for a few nights during the september school holidays and had a brief but lovely respite from work well like to credit the people who made that possible foremost we want to thank kenneth for his exceptional service he arranged meticulously for detailed room tours before the stay the most hasslefree checkin and out room upgrade as well as dining reservations i have to say he met our needs and wants very well a testament to his keen observation of our preferences theres more to thank him for but i think it suffices to say we are impressed by his understated excellence and with him we always feel that were in good hands the service and offerings at the club lounge was the highlight of the stay not only was the view most inviting but
29,Grand Copthorne Waterfront Singapore,5,holiday by the river great location lovely hotel with friendly staff easy walk to riverside restaurants close to main attractions with a bus stop at the door beautiful city view from our th floor room we will stay here again
30,Grand Copthorne Waterfront Singapore,4,nice hotel but nothing stood out i booked a night stay at the grand copthorne waterfront hotel and i had a pleasant stay the staff were friendly and helpful a few things that were minor inconveniences i had one outlet that i could plug my adapterdevices in luckily it had two usb plugs so i could charge devices at once one of the four curtain handles were missing but i didnt care too much as it was much easier to open and close the curtain with my hand the shower door wouldnt close all the way properly so the door would be slightly ajar during a shower the closet door would not slide shut all the way and so i used a slippersock in between the cracks of the two doors to keep one of the doors shut the location is not the greatest but it does give you a nice view of the river which is also
31,Grand Copthorne Waterfront Singapore,5,great service me and my partner were greeted with smiles and great service at the executive lounge and overall we were pleased with everything that grand copthorne waterfront had offered us even gave us a free upgrade to a suite thank you for the memorable experience
32,Grand Copthorne Waterfront Singapore,5,still an excellent hotel i have stayed at the grand copthorne many time for business when i travel through singapore the staff are very friendly and helpful and i have enjoyed upgrades to the clubs suites on several occasions the club lounge is an ideal oasis for relaxing or getting some work done in a quiet and peaceful environment
33,Grand Copthorne Waterfront Singapore,3,average wouldnt call this a star hotel we booked grand copthorne as part of our honeymoon stay in singapore first of all i would just like to say by no means is this a star i would rate it a at best the bathroom was pretty dingy considering sinks were cracked in our room a very comfortable bed however staff were relatively pleasant however considering we had mentioned it was our honeymoon there were no special treatment services given not even a simple towel decoration this was the first stop of our multi destination and copthorne were the only hotel who i would say didnt make us feel special or even congratulate us on our newlywed status not a huge deal but wouldve started our honeymoon off in a nice way location is very strange no close amenities there is a mall thats min walk away
