No.,Hotel Name,Ratings,Date Of Stay,Reviews,Customer Name
0,Grand_Copthorne_Waterfront-Singapore,50,Date of stay: October 2022,"Food Capital Best Buffet with 5 Star Service Me and my Husband celebrated his Birthday dinner at Food Capital. Dinner is fantastic with the most awesome staff. I would like to highly commended Mr. Ibrahim for being so professional, thoughful with a 5 star service. Grand Copthorne Waterfront is lucky to have him as part of the team. Thank you for giving us the best experience. Read more Date of stay: October 2022 Trip type: Travelled as a couple This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share",Ian C wrote a review Yesterday
1,Grand_Copthorne_Waterfront-Singapore,50,Date of stay: June 2021,"Hotel's Favourite GCW turned my QO into a Staycay/Vacay! What a wonderful experience trashing my initial thoughts of how to cope with being ""imprisoned"" all be it even at a 5 star hotel? The moment I arrived at 2+am on the 18th June was a breeze with courtesy received. Entering the room #2306 was a relief with spacious, very clean and well equipt with neccesities. The bed and pillows were very comfortable. The view gave me the serenity needed for this situation as it faces the Singapore river and city view even Batam can be seen on a clear day. Very good wifi connection helps keep my sanity intact.  Most of all what was more stunning was the great guest oriented hotel personnel which truly was amazing and what guests always expected nomatter what the situation or reason to stay can be. I must humbly commend them for making mine a pleasantly memorable one...   To Jiun Lee and Cheryl from 'One Touch' for keeping me company with their friendly and sincerity I can feel just over our daily telephone conversations and I was very pleasantly surprised that them knowing I'm a BTS ARMY presented me with an encouragement greeting card with BTS poster print! Now that was AWESOME! Liya (hope I spelt it correctly) from the same department was enthusiastic when we spoke on my checking out day. To all of you, gamsahamidah...  To GCW Hotel Manager Mr Terence Ng, my sincere appreciation for taking good care of me in making my stay trouble and stress free. You have a great team! To Kelvin whom I met briefly at the lobby upon my departure I appreciate your courtesy. To everyone from housekeeping, in room dining, to Certis Cisco, the M.O.H., I thank you all very much from the bottom of my heart. Grand Corpthorne Waterfront... you are indeed fantabulously Grand! 👍👍👍 … Read more Date of stay: June 2021 Value Service Sleep Quality This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Herman Foo , Owner at Grand Copthorne Waterfront Responded 8 Sep 2021 Dear Tengku B,  Thank you for giving us 5 stars.  It is with delight to know that you enjoyed the experience at our hotel.  Thank you once again for your kind words. Stay safe & stay well.  Yours sincerely Herman Foo Executive Assistant Manager - Operations Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",Tengku B wrote a review Jun 2021
2,Grand_Copthorne_Waterfront-Singapore,50,Date of stay: October 2022,"Excellent hotel and staff…. This is our fourth stay at this hotel in the past 10 years and we are very happy to return again and again. Apart from a couple of really minor issues with the room and a failed poolside drinks order (only once), I cannot fault it. The staff are extremely friendly and helpful, especially Shirley, Jennifer and Kenneth on the club level, 29th floor. The pool is nice but was much busier this year, we think because of the increased popularity of Formula One now. The food at Tempo was very good indeed and the bar staff very attentive and friendly. My only wish is that the bar would stay open later. The breakfast selection certainly caters for a wide range of cultures and was very good. Thank you for a wonderful stay. Read more Date of stay: October 2022 Trip type: Travelled as a couple This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 2 days ago Thank you for choosing to stay with us at Grand Copthorne Waterfront and for sharing this five star review of your experience.  It is wonderful to know that you have enjoyed your stay very much and was impressed with the genuine care and professionalism of the team; especially from Shirley, Jennifer and Kenneth. We will definitely share your kind compliments with them and the staff at Tempo Bar.  We appreciate your recommendations for our Tempo Bar and look forward to having you back for another memorable experience soon.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",Vincent D wrote a review 11 Oct
3,Grand_Copthorne_Waterfront-Singapore,10,Date of stay: August 2022,"Overcharged $3000 ...be careful !! We stayed for 2 nights from New Zealand to visit our new grand daughter and were incorrectly charged for 7 and now after numerous emails requesting they refund us for their mistake we have had to lodge a dispute with Amex to get our money back.We actually checked out at front counter and they said they would email our account and once we didn't receive  it checked our card on return to New Zealand . They were clearly short staffed as long queues at reception so someone has made a mistake at reception. Our room also smelled damp and of some chemical  and we so bad we had to request a room change as it was extremely pungent. We operate a resort ourselves and I am absolutely gobsmacked that a hotel of this size operates in such a poor and unprofessional manner. We will eventually get our money back via Amex . Needless to say I would warn anyone contemplating staying here to book elsewhere.. … Read more Date of stay: August 2022 Rooms Location Service This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 3 days ago Thank you for staying at the Grand Copthorne Waterfront. We do apologise for the experiences that were not up to your exacting expectations. Please be assured that necessary trainings and amendments will be implemented to ensure that your next visit with us will be a better one. We are once again sorry for all the shortcomings and inconveniences.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",BrinkleyManagement wrote a review 10 Oct
4,Grand_Copthorne_Waterfront-Singapore,10,Date of stay: October 2022,"Needs a refurb and a bar that stays open past 10. We stayed here for the F1 weekend and to visit our son in Singapore, as it was a busy weekend the choices of hotels was limited. We were allocated a room which smelled of damp and soon as we opened the door. Severe evidence on the corner wall and the lampshade in room 1465.  Even outside the room the hall carpet was smelly and obviously had some sort of leakage/ personal accident. We were quickly allocated another room 1210.  It is in need of a serious refurb, decoration and furniture was in poor condition, not sure why it wasn’t done during lockdown. It did have a great view though. During the F1 weekend, the bar closed 10-45 one night and 10 the next night, for a supposed international 5* hotel.  It was a joke. On the plus side the doormen for fabulous and very attentive. This is supposed to be a 5* hotel but was more like a 3*.  I do not recommend staying here. … Read more Date of stay: October 2022 Trip type: Travelled as a couple Room Tip: Stay somewhere nearer the MRT. See more room tips This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 3 days ago We are disappointed to hear that your recent stay was not up to expectations and we are sorry for any inconvenience this may have caused you. Your feedback will be shared with the team for actions to improve. We hope to have the opportunity to welcome you back.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",Paul S wrote a review 10 Oct
5,Grand_Copthorne_Waterfront-Singapore,40,Date of stay: October 2022,"Service with a Smile Rooms are slightly run down quite surprised they didn't renovate during the lock down period. But the attitude and services of the staff there reminded me why it was a 5 star. Had such a great experience at the level 29 Executive club where staff indulge us in beverages and food, held a conversation with us Read more Date of stay: October 2022 Value Location Service Trip type: Travelled as a couple Room Tip: Breakfast gets crowded at 10 so go earlier See more room tips This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 3 days ago Thank you for taking the time to share your comments on TripAdvisor following your recent stay.  We are delighted to learn that you have enjoyed your stay with us and we appreciate your positive feedback for the staff at the Executive lounge.   Please accept our most sincere apologies for the condition of the room and thank you for taking the time to bring your concerns to our attention. We hope for another opportunity to deliver a better hospitality experience to you in the future.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",Lyndon L wrote a review 9 Oct
6,Grand_Copthorne_Waterfront-Singapore,30,Date of stay: October 2022,"Grandcopthorne Clean and staff were fantastic. A bit far from the city but will be better once new train station opposite opens. The company that owns the hotel lacks integrity and transferred our booking and overcharged us for our room. I won't stay in one of they're hotels again. Read more Review collected in partnership with MillenniumHotels.com Date of stay: October 2022 Value Rooms Location Cleanliness Service Sleep Quality This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 4 days ago Thank you for taking the time to share your comments on TripAdvisor following your recent stay; Please accept our most sincere apologies for the service shortfalls.  We were disappointed that we have failed to extend the high standards of service expected by our guests. Please be assured that necessary trainings and amendments will be implemented to ensure that your next visit with us will be a better one.   We truly appreciate you taking the time to bring your concerns to our attention and we hope for another opportunity to deliver a better hospitality experience to you in the future.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",juliapG9339EM wrote a review 8 Oct
7,Grand_Copthorne_Waterfront-Singapore,30,Date of stay: October 2022,"Average hotel but ok. Very over priced hotel but it was the racing weekend, but even so too expensive. Clean and tidy rooms. Polite staff. Location not great but easy to get a taxi. Concierge was disappointing as when I arrived with 3 luggage I wasn't welcomed or helped to my room with my luggage, I had to take it up on my own. Read more Date of stay: October 2022 Trip type: Travelled on business This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 4 days ago We are disappointed to hear that your recent stay was not up to expectations and we are sorry for any inconvenience this may have caused you. Your feedback will be shared with the Concierge team for actions to improve. We hope to have the opportunity to welcome you back.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",richard o wrote a review 6 Oct
8,Grand_Copthorne_Waterfront-Singapore,40,Date of stay: October 2022,"vibrant quite efficient hotel good location and view from the room's river view. good restaurants specially there seating by the river. walking distance across to shops restaurants and Clark key. good place to relax after a busy day Read more Review collected in partnership with MillenniumHotels.com Date of stay: October 2022 Value Rooms Location Cleanliness Service Sleep Quality Trip type: Travelled on business This review is the subjective opinion of an individual traveller and not of Tripadvisor LLC nor of its partners. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 4 days ago Thank you very much for taking time to review.  We are delighted to know that you had such an enjoyable experience and we appreciate your lovely feedback. We will look forward to welcoming you again.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC nor of its partners.",Sanjiiv Srivastava wrote a review 6 Oct
9,Grand_Copthorne_Waterfront-Singapore,50,Date of stay: October 2022,"Great Hotel for Business, Club Level Great, Front Mgr Navin Seh is Great, Service 100! Highly recommend the Grand Copthorne Waterfront, especially for business travel. Perfect location in Robertson Quay, walking distance to many restaurants / cafes on the waterfront, and also restaurants/cafes downstairs inside the hotel for easy business catch-ups. The Club Level rooms are particular nice and modern, great views, quiet and clean. Solid and enjoyable. Good to relax after a busy day of meetings. Easy access to other parts of the city - everything in a short 3-8 min Grab/GoJek, or you can walk all along Robertson Quay/Clarkson Quay. The Front Desk Manager Navin Seh was particularly helpful for our booking of several rooms and also helping with extending stay. Ended up staying here for additional 5 days. Very professional and helpful. Ask for Navin Seh if you need anything! He's the best! Great stay,  perfect place for business travel, the rooms were very spacious, room service food from downstairs is convenient and great, and neighborhood is convenient and walkable. Thanks for the great stay, highly recommend. Will stay again on next trip. Thanks! … Read more Date of stay: October 2022 Location Service Sleep Quality Trip type: Travelled on business This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews. Helpful Share Response from Edeline Tiong , Guest Services / Front Office at Grand Copthorne Waterfront Responded 4 days ago Thank you for your five star review. We are so pleased to hear that you had a wonderful time and were well-looked after by Navin.  We appreciate your positive feedback that your stay was nice and the room was well appointed. More importantly, thank you for your recognition for Navin. Your word of encouragement will motivate all of us to strive to do better.  We do hope to have the pleasure of welcoming you back soon.  Grand Copthorne Waterfront Team Read more This response is the subjective opinion of the management representative and not of Tripadvisor LLC.",Jason L wrote a review 5 Oct
