No.,Hotel Name,Ratings,Reviews,Reviews Split
0,Grand Copthorne Waterfront Singapore,5,Food Capital Best Buffet with  Star Service Me and my Husband celebrated his Birthday dinner at Food Capital Dinner is fantastic with the most awesome staff I would like to highly commended Mr Ibrahim for being so professional thoughful with a  star service Grand Copthorne Waterfront is lucky to have him as part of the team Thank you for giving us the best experience ,"['food', 'capital', 'best', 'buffet', 'star', 'service', 'husband', 'celebrated', 'birthday', 'dinner', 'food', 'capital', 'dinner', 'fantastic', 'awesome', 'staff', 'would', 'like', 'highly', 'commended', 'mr', 'ibrahim', 'professional', 'thoughful', 'star', 'service', 'grand', 'copthorne', 'waterfront', 'lucky', 'part', 'team', 'thank', 'giving', 'us', 'best', 'experience', '']"
1,Grand Copthorne Waterfront Singapore,5,Hotels Favourite GCW turned my QO into a StaycayVacay What a wonderful experience trashing my initial thoughts of how to cope with being imprisoned all be it even at a  star hotel The moment I arrived at am on the th June was a breeze with courtesy received Entering the room  was a relief with spacious very clean and well equipt with neccesities The bed and pillows were very comfortable The view gave me the serenity needed for this situation as it faces the Singapore river and city view even Batam can be seen on a clear day Very good wifi connection helps keep my sanity intact  Most of all what was more stunning was the great guest oriented hotel personnel which truly was amazing and what guests always expected nomatter what the situation or reason to stay can be I must humbly commend them for making mine a pleasantly memorable one   To Jiun Lee and Cheryl from One Touch for keeping me company with their friendly and sincerity I can feel just over our daily telephone conversations and I was very pleasantly surprised that them knowing Im a BTS ARMY presented me with an encouragement greeting card with BTS poster print Now that was AWESOME Liya hope I spelt it correctly from the same department was enthusiastic when we spoke on my checking out day To all of you gamsahamidah  To GCW Hotel Manager Mr Terence Ng my sincere appreciation for taking good care of me in making my stay trouble and stress free You have a great team To Kelvin whom I met briefly at the lobby upon my departure I appreciate your courtesy To everyone from housekeeping in room dining to Certis Cisco the MOH I thank you all very much from the bottom of my heart Grand Corpthorne Waterfront you are indeed fantabulously Grand       ,"['hotels', 'favourite', 'gcw', 'turned', 'qo', 'staycayvacay', 'wonderful', 'experience', 'trashing', 'initial', 'thoughts', 'cope', 'imprisoned', 'even', 'star', 'hotel', 'moment', 'arrived', 'th', 'june', 'breeze', 'courtesy', 'received', 'entering', 'room', 'relief', 'spacious', 'clean', 'well', 'equipt', 'neccesities', 'bed', 'pillows', 'comfortable', 'view', 'gave', 'serenity', 'needed', 'situation', 'faces', 'singapore', 'river', 'city', 'view', 'even', 'batam', 'seen', 'clear', 'day', 'good', 'wifi', 'connection', 'helps', 'keep', 'sanity', 'intact', 'stunning', 'great', 'guest', 'oriented', 'hotel', 'personnel', 'truly', 'amazing', 'guests', 'always', 'expected', 'nomatter', 'situation', 'reason', 'stay', 'must', 'humbly', 'commend', 'making', 'mine', 'pleasantly', 'memorable', 'one', 'jiun', 'lee', 'cheryl', 'one', 'touch', 'keeping', 'company', 'friendly', 'sincerity', 'feel', 'daily', 'telephone', 'conversations', 'pleasantly', 'surprised', 'knowing', 'im', 'bts', 'army', 'presented', 'encouragement', 'greeting', 'card', 'bts', 'poster', 'print', 'awesome', 'liya', 'hope', 'spelt', 'correctly', 'department', 'enthusiastic', 'spoke', 'checking', 'day', 'gamsahamidah', 'gcw', 'hotel', 'manager', 'mr', 'terence', 'ng', 'sincere', 'appreciation', 'taking', 'good', 'care', 'making', 'stay', 'trouble', 'stress', 'free', 'great', 'team', 'kelvin', 'met', 'briefly', 'lobby', 'upon', 'departure', 'appreciate', 'courtesy', 'everyone', 'housekeeping', 'room', 'dining', 'certis', 'cisco', 'moh', 'thank', 'much', 'bottom', 'heart', 'grand', 'corpthorne', 'waterfront', 'indeed', 'fantabulously', 'grand', '']"
2,Grand Copthorne Waterfront Singapore,5,Excellent hotel and staff  This is our fourth stay at this hotel in the past  years and we are very happy to return again and again Apart from a couple of really minor issues with the room and a failed poolside drinks order only once I cannot fault it The staff are extremely friendly and helpful especially Shirley Jennifer and Kenneth on the club level th floor The pool is nice but was much busier this year we think because of the increased popularity of Formula One now The food at Tempo was very good indeed and the bar staff very attentive and friendly My only wish is that the bar would stay open later The breakfast selection certainly caters for a wide range of cultures and was very good Thank you for a wonderful stay ,"['excellent', 'hotel', 'staff', 'fourth', 'stay', 'hotel', 'past', 'years', 'happy', 'return', 'apart', 'couple', 'really', 'minor', 'issues', 'room', 'failed', 'poolside', 'drinks', 'order', 'cannot', 'fault', 'staff', 'extremely', 'friendly', 'helpful', 'especially', 'shirley', 'jennifer', 'kenneth', 'club', 'level', 'th', 'floor', 'pool', 'nice', 'much', 'busier', 'year', 'think', 'increased', 'popularity', 'formula', 'one', 'food', 'tempo', 'good', 'indeed', 'bar', 'staff', 'attentive', 'friendly', 'wish', 'bar', 'would', 'stay', 'open', 'later', 'breakfast', 'selection', 'certainly', 'caters', 'wide', 'range', 'cultures', 'good', 'thank', 'wonderful', 'stay', '']"
3,Grand Copthorne Waterfront Singapore,1,Overcharged  be careful  We stayed for  nights from New Zealand to visit our new grand daughter and were incorrectly charged for  and now after numerous emails requesting they refund us for their mistake we have had to lodge a dispute with Amex to get our money backWe actually checked out at front counter and they said they would email our account and once we didnt receive  it checked our card on return to New Zealand  They were clearly short staffed as long queues at reception so someone has made a mistake at reception Our room also smelled damp and of some chemical  and we so bad we had to request a room change as it was extremely pungent We operate a resort ourselves and I am absolutely gobsmacked that a hotel of this size operates in such a poor and unprofessional manner We will eventually get our money back via Amex  Needless to say I would warn anyone contemplating staying here to book elsewhere   ,"['overcharged', 'careful', 'stayed', 'nights', 'new', 'zealand', 'visit', 'new', 'grand', 'daughter', 'incorrectly', 'charged', 'numerous', 'emails', 'requesting', 'refund', 'us', 'mistake', 'lodge', 'dispute', 'amex', 'get', 'money', 'backwe', 'actually', 'checked', 'front', 'counter', 'said', 'would', 'email', 'account', 'didnt', 'receive', 'checked', 'card', 'return', 'new', 'zealand', 'clearly', 'short', 'staffed', 'long', 'queues', 'reception', 'someone', 'made', 'mistake', 'reception', 'room', 'also', 'smelled', 'damp', 'chemical', 'bad', 'request', 'room', 'change', 'extremely', 'pungent', 'operate', 'resort', 'absolutely', 'gobsmacked', 'hotel', 'size', 'operates', 'poor', 'unprofessional', 'manner', 'eventually', 'get', 'money', 'back', 'via', 'amex', 'needless', 'say', 'would', 'warn', 'anyone', 'contemplating', 'staying', 'book', 'elsewhere', '']"
4,Grand Copthorne Waterfront Singapore,1,Needs a refurb and a bar that stays open past  We stayed here for the F weekend and to visit our son in Singapore as it was a busy weekend the choices of hotels was limited We were allocated a room which smelled of damp and soon as we opened the door Severe evidence on the corner wall and the lampshade in room   Even outside the room the hall carpet was smelly and obviously had some sort of leakage personal accident We were quickly allocated another room   It is in need of a serious refurb decoration and furniture was in poor condition not sure why it wasn t done during lockdown It did have a great view though During the F weekend the bar closed  one night and  the next night for a supposed international  hotel  It was a joke On the plus side the doormen for fabulous and very attentive This is supposed to be a  hotel but was more like a   I do not recommend staying here   ,"['needs', 'refurb', 'bar', 'stays', 'open', 'past', 'stayed', 'f', 'weekend', 'visit', 'son', 'singapore', 'busy', 'weekend', 'choices', 'hotels', 'limited', 'allocated', 'room', 'smelled', 'damp', 'soon', 'opened', 'door', 'severe', 'evidence', 'corner', 'wall', 'lampshade', 'room', 'even', 'outside', 'room', 'hall', 'carpet', 'smelly', 'obviously', 'sort', 'leakage', 'personal', 'accident', 'quickly', 'allocated', 'another', 'room', 'need', 'serious', 'refurb', 'decoration', 'furniture', 'poor', 'condition', 'sure', 'done', 'lockdown', 'great', 'view', 'though', 'f', 'weekend', 'bar', 'closed', 'one', 'night', 'next', 'night', 'supposed', 'international', 'hotel', 'joke', 'plus', 'side', 'doormen', 'fabulous', 'attentive', 'supposed', 'hotel', 'like', 'recommend', 'staying', '']"
5,Grand Copthorne Waterfront Singapore,4,Service with a Smile Rooms are slightly run down quite surprised they didnt renovate during the lock down period But the attitude and services of the staff there reminded me why it was a  star Had such a great experience at the level  Executive club where staff indulge us in beverages and food held a conversation with us ,"['service', 'smile', 'rooms', 'slightly', 'run', 'quite', 'surprised', 'didnt', 'renovate', 'lock', 'period', 'attitude', 'services', 'staff', 'reminded', 'star', 'great', 'experience', 'level', 'executive', 'club', 'staff', 'indulge', 'us', 'beverages', 'food', 'held', 'conversation', 'us', '']"
6,Grand Copthorne Waterfront Singapore,3,Grandcopthorne Clean and staff were fantastic A bit far from the city but will be better once new train station opposite opens The company that owns the hotel lacks integrity and transferred our booking and overcharged us for our room I wont stay in one of theyre hotels again ,"['grandcopthorne', 'clean', 'staff', 'fantastic', 'bit', 'far', 'city', 'better', 'new', 'train', 'station', 'opposite', 'opens', 'company', 'owns', 'hotel', 'lacks', 'integrity', 'transferred', 'booking', 'overcharged', 'us', 'room', 'wont', 'stay', 'one', 'theyre', 'hotels', '']"
7,Grand Copthorne Waterfront Singapore,3,Average hotel but ok Very over priced hotel but it was the racing weekend but even so too expensive Clean and tidy rooms Polite staff Location not great but easy to get a taxi Concierge was disappointing as when I arrived with  luggage I wasnt welcomed or helped to my room with my luggage I had to take it up on my own ,"['average', 'hotel', 'ok', 'priced', 'hotel', 'racing', 'weekend', 'even', 'expensive', 'clean', 'tidy', 'rooms', 'polite', 'staff', 'location', 'great', 'easy', 'get', 'taxi', 'concierge', 'disappointing', 'arrived', 'luggage', 'wasnt', 'welcomed', 'helped', 'room', 'luggage', 'take', '']"
8,Grand Copthorne Waterfront Singapore,4,vibrant quite efficient hotel good location and view from the rooms river view good restaurants specially there seating by the river walking distance across to shops restaurants and Clark key good place to relax after a busy day ,"['vibrant', 'quite', 'efficient', 'hotel', 'good', 'location', 'view', 'rooms', 'river', 'view', 'good', 'restaurants', 'specially', 'seating', 'river', 'walking', 'distance', 'across', 'shops', 'restaurants', 'clark', 'key', 'good', 'place', 'relax', 'busy', 'day', '']"
9,Grand Copthorne Waterfront Singapore,5,Great Hotel for Business Club Level Great Front Mgr Navin Seh is Great Service  Highly recommend the Grand Copthorne Waterfront especially for business travel Perfect location in Robertson Quay walking distance to many restaurants  cafes on the waterfront and also restaurantscafes downstairs inside the hotel for easy business catchups The Club Level rooms are particular nice and modern great views quiet and clean Solid and enjoyable Good to relax after a busy day of meetings Easy access to other parts of the city  everything in a short  min GrabGoJek or you can walk all along Robertson QuayClarkson Quay The Front Desk Manager Navin Seh was particularly helpful for our booking of several rooms and also helping with extending stay Ended up staying here for additional  days Very professional and helpful Ask for Navin Seh if you need anything Hes the best Great stay  perfect place for business travel the rooms were very spacious room service food from downstairs is convenient and great and neighborhood is convenient and walkable Thanks for the great stay highly recommend Will stay again on next trip Thanks   ,"['great', 'hotel', 'business', 'club', 'level', 'great', 'front', 'mgr', 'navin', 'seh', 'great', 'service', 'highly', 'recommend', 'grand', 'copthorne', 'waterfront', 'especially', 'business', 'travel', 'perfect', 'location', 'robertson', 'quay', 'walking', 'distance', 'many', 'restaurants', 'cafes', 'waterfront', 'also', 'restaurantscafes', 'downstairs', 'inside', 'hotel', 'easy', 'business', 'catchups', 'club', 'level', 'rooms', 'particular', 'nice', 'modern', 'great', 'views', 'quiet', 'clean', 'solid', 'enjoyable', 'good', 'relax', 'busy', 'day', 'meetings', 'easy', 'access', 'parts', 'city', 'everything', 'short', 'min', 'grabgojek', 'walk', 'along', 'robertson', 'quayclarkson', 'quay', 'front', 'desk', 'manager', 'navin', 'seh', 'particularly', 'helpful', 'booking', 'several', 'rooms', 'also', 'helping', 'extending', 'stay', 'ended', 'staying', 'additional', 'days', 'professional', 'helpful', 'ask', 'navin', 'seh', 'need', 'anything', 'hes', 'best', 'great', 'stay', 'perfect', 'place', 'business', 'travel', 'rooms', 'spacious', 'room', 'service', 'food', 'downstairs', 'convenient', 'great', 'neighborhood', 'convenient', 'walkable', 'thanks', 'great', 'stay', 'highly', 'recommend', 'stay', 'next', 'trip', 'thanks', '']"
