,No.,neg,neu,pos,compound,Hotel Name,Ratings,Reviews
0,0,0.115,0.551,0.334,0.6976,Royal Plaza on Scotts,4,difficult get taxi grab app really helps great location shopping food starbucks kiosk outside hotel 
1,1,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,service charge breakfast location 
2,2,0.0,0.785,0.215,0.802,Royal Plaza on Scotts,4,booked rooms one room  bathroom door secured bottom track afraid fall slide door chair beside bed see dust love location near everywhere u want go booked deluxe king upgrade premier king needed  rooms close 
3,3,0.0,0.528,0.472,0.9508,Royal Plaza on Scotts,4,slow room service take calls  pm easily call landline best location clean good veg food options buffet extremely comfortable stay highly recommended also indian vegetarian families 
4,4,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,nothing near shopping areas 
5,5,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,executive lounge anymore booked basis still existed afternoon tea evening cocktails told advance discontinued location housekeeping room always made high standard day 
6,6,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,nothing strategic location shopping 
7,7,0.065,0.647,0.289,0.6705,Royal Plaza on Scotts,4,near orchard road shopping food mrt access easy connection shops underground good rainy days get wet 
8,8,0.0,0.711,0.289,0.967,Royal Plaza on Scotts,4,maybe rooms need little make changed lot since last stay back  say  star hotel maybe really really good  star hotel staff really friendly helpful messages answered quick also request early check connected rooms considered happy rooms really clean location perfect explore singapore mrt station  min walk away lot shopping malls food places around hotel would come back 
9,9,0.0,0.607,0.393,0.8126,Royal Plaza on Scotts,4,coffee machines breakfast suit taste clean rooms efficient lift service th floor looked better th floor 
10,10,0.0,0.647,0.353,0.9702,Royal Plaza on Scotts,4,warm breakfast choices could better staff upsell singapore tourists reason make recommendations tourist attractions etc neither give local travel advice would suggest little friendlier approach customers well apply hotel also taxi drivers countries taxi drivers love meeting tourists conversing singapore ask destination end give amount owing thats room clean well serviced aircon also effective 
11,11,0.085,0.804,0.111,0.128,Royal Plaza on Scotts,4,bit noisy day time ok hotel manage check check line people line waited check location comfy bed service 
12,12,0.338,0.531,0.13,-0.5106,Royal Plaza on Scotts,4,difficult get cabs amenities room inadequate clean room every day alternate days rates charged location 
13,13,0.0,0.838,0.162,0.4404,Royal Plaza on Scotts,4,reception took long checking us almost took  mins get room check good location middle orchard road 
14,14,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,none breakfast basic location city center 
15,15,0.0,0.748,0.252,0.5719,Royal Plaza on Scotts,4,foreigners breakfast buffet could bit variety heart central business district perfect location 
16,16,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,review hidden meet guidelines
17,17,0.0,0.751,0.249,0.6486,Royal Plaza on Scotts,4,cleaning room stays appreciate due covid restrictions think least method guest clear garbage room everyday location bed size 
18,18,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,hotel cleans room every second day hotel stature rooms cleaned every day early possible guest convenience 
19,19,0.3,0.7,0.0,-0.4585,Royal Plaza on Scotts,4,nothing spacious room perfect location near shopping dining 
20,20,0.124,0.478,0.398,0.7845,Royal Plaza on Scotts,4,despite knowing fact nobody handle baggage still unpleasant welcome hope fix soon location room size great 
21,21,0.306,0.694,0.0,-0.296,Royal Plaza on Scotts,4,taste breakfast water pressure room slow 
22,22,0.0,0.647,0.353,0.9786,Royal Plaza on Scotts,4,breakfast closes  family young kids would preferred breakfast timing am least   spread fine needs vegetarian options room service well good vegetarian options snacks least could accommodating requests booked super twin room family   adults  kids seemed bit small us requested check better options available suggested junior suite additional cost checked took check check process smooth suite comfortable staff excellent helpful friendly breakfast fine 
23,23,0.0,0.87,0.13,0.4019,Royal Plaza on Scotts,4,readily available concierge bell service help guests bring luggage room also noticed rooms cleaned daily something expected book hotel 
24,24,0.0,0.487,0.513,0.9287,Grand Copthorne Waterfront,4,aged rooms need upgrade efficient checkin concierge location fabulous size room comfortable river view room best view 
25,25,0.0,0.194,0.806,0.8074,Grand Copthorne Waterfront,4,staff friendly supportive location good 
26,26,0.0,0.685,0.315,0.8316,Grand Copthorne Waterfront,4,hotel rooms modern seem updated years addition quite bit dust behind bed great location close downtown staff service excellent 
27,27,0.0,0.526,0.474,0.4019,Grand Copthorne Waterfront,4,price clean upmarket expensive 
28,28,0.216,0.603,0.181,-0.2732,Grand Copthorne Waterfront,4,carpet corridor room smells bad hot water time aircon work properly always  degrees get sick second night location house keeping good concierge helpful 
29,29,0.093,0.74,0.168,0.6771,Grand Copthorne Waterfront,4,early check small waiting area booked  rooms travelled almost  hours needed crash least one approx    would ok even one  offered pay extra point us waiting area   chairs may ok chairs waiting since vastly empty large room area compared singapore standards good location even better havelock road metro starts literally   steps away hotel 
30,30,0.414,0.429,0.157,-0.4215,Grand Copthorne Waterfront,4,rooms bit tired basic lobby 
31,31,0.071,0.639,0.29,0.9062,Grand Copthorne Waterfront,4,surfaces bathroom looked need repair moreover wifi login page would work granted linux operating system doubt reason however sure hotel pays company service set maintain wifi good reason company ensure access even linux hotel demand liked room interior rooftop pool breakfast also location excellent 
32,32,0.0,0.446,0.554,0.7351,Grand Copthorne Waterfront,4,city transport needdd good sized comfortable room 
33,33,0.113,0.591,0.296,0.5719,Grand Copthorne Waterfront,4,food restaurant quite expensive although  star hotel room lack quality match price friendly staffs helpful 
34,34,0.431,0.392,0.176,-0.5994,Grand Copthorne Waterfront,4,bad lead poor breakfast clean large club lounge room 
35,35,0.176,0.603,0.221,0.1725,Grand Copthorne Waterfront,4,room little old tired tv small unusable honest needs tlc view 
36,36,0.112,0.888,0.0,-0.2263,Grand Copthorne Waterfront,4,cocktail menu poolside room service variety limited suite could update deco late check hair dresser site 
37,37,0.039,0.432,0.529,0.9744,Grand Copthorne Waterfront,4,tv channel limited choice check late check time early overall good environment comfortable staff approachable good breakfast feel amaze grisini dining great surprise us staffs also professional friendly food wonderful 
38,38,0.27,0.73,0.0,-0.5859,Grand Copthorne Waterfront,3,fridge work properly selection reception tv programs terrible construction going outside noisy times location breakfast 
39,39,0.282,0.623,0.095,-0.6908,Grand Copthorne Waterfront,4,given  complimentary parking ticket per day rejected asked nd ticket found car park mostly empty hence understand rejection hotel consider provide least  coupons 
40,40,0.0,0.368,0.632,0.9186,Grand Copthorne Waterfront,4,rooms balconies great location river great views buffet breakfast amazing 
41,41,0.0,0.494,0.506,0.6249,Grand Copthorne Waterfront,4,expect cost superb put weight 
42,42,0.0,0.508,0.492,0.4404,Grand Copthorne Waterfront,4,reasonably priced good location 
43,43,0.0,0.652,0.348,0.4939,Grand Copthorne Waterfront,3,dated staff friendly accommodating size room cocktails 
44,44,0.094,0.386,0.52,0.9558,Grand Copthorne Waterfront,4,honest couldnt fault hotel bed comfortable staff couldnt help enough hotel central great area big room money pay awesome view really pleased staying 
45,45,0.0,0.594,0.406,0.8481,Grand Copthorne Waterfront,4,toilet great standard flush without water jet bidet accessories less room size staff great 
46,46,0.0,0.602,0.398,0.6486,Grand Copthorne Waterfront,3,rooms dated cleaning done done well staff friendly especially concierge 
47,47,0.0,0.545,0.455,0.3612,Grand Copthorne Waterfront,4,room smell like humidity 
48,48,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,4,location near mrt station 
49,49,0.0,0.494,0.506,0.6249,ibis Styles Singapore Albert,4,breakfast location great next metro 
50,50,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,4,comment reasonable price 
51,51,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,4,rooms small location nearby subway kidness staff 
52,52,0.659,0.341,0.0,-0.7003,ibis Styles Singapore Albert,4,lack hairdryer bad ac location 
53,53,0.084,0.681,0.235,0.5994,ibis Styles Singapore Albert,3,problem room sent partner hotel city running maintenance work hotel access swimming pool gym breakfast nearby cafe hold deposit  weeks stay room nice clean well designed 
54,54,0.0,0.562,0.438,0.7906,ibis Styles Singapore Albert,4,cleanliness found hair coffee cup accommodative staff great location good shower 
55,55,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,4,rooms quite small near eateries metro 
56,56,0.0,0.574,0.426,0.6369,ibis Styles Singapore Albert,4,room size noise guest rooms staff alway ready help 
57,57,0.246,0.238,0.516,0.5267,ibis Styles Singapore Albert,3,breakfast poor comfortable room friendly staff 
58,58,0.189,0.811,0.0,-0.1027,ibis Styles Singapore Albert,4,bed hard bearable hotel located right spot 
59,59,0.118,0.693,0.189,0.5279,ibis Styles Singapore Albert,4,pillows high extremely poor sound proof could hear everything including continuous cough next door guest average breakfast sticky floor room service friendly staff bottled water provided tidy room good air conditioning good wi fi coverage close train stop 
60,60,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,3,hot water first two days small room  single beds fonctional 
61,61,0.252,0.748,0.0,-0.4019,ibis Styles Singapore Albert,2,tiny room comparing price bath tube problem drain nothing 
62,62,0.138,0.806,0.056,-0.5095,ibis Styles Singapore Albert,1,caution hotel takes holding deposit full room price holds month charges full amount room rip also tried charge breakfast already paid inclusive fully denied daughter entry kitchen without paying already paying facilities limited hotel crowded also found staff consumed making money concerned sort service good location 
63,63,0.0,0.256,0.744,0.4404,ibis Styles Singapore Albert,1,breakfast good 
64,64,0.649,0.351,0.0,-0.9798,ibis Styles Singapore Albert,5,nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing nothing fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic fantastic 
65,65,0.275,0.569,0.156,-0.3612,ibis Styles Singapore Albert,0,get room reserved hot water strong cigarette smell room unpleasant reception staff response complaints nothing 
66,66,0.0,1.0,0.0,0.0,ibis Styles Singapore Albert,4,breakfast coffee location 
67,67,0.06,0.675,0.265,0.8632,ibis Styles Singapore Albert,4,sad say first two nights room  delute twin beds beds move easily light whenever turned body bed move luckily girl reception let us change room  welldone girls thanks alot like room  front door directly ascess swimming pool little garden nicely decorated 
68,68,0.0,0.408,0.592,0.4404,ibis Styles Singapore Albert,5,good one stay 
69,72,0.0,0.13,0.87,0.9246,Mercure Singapore On Stevens,4,staff best helpful happy offer help 
70,73,0.077,0.679,0.244,0.8766,Mercure Singapore On Stevens,3,cost breakfast crazy expensive worth walk orchard eat fraction price better food checkin issues took long time fix checked first night needed check back annoying bcoz used booking com extend stay come one night earlier pre done system showed two seperate bookings hotel gym really good staff pleasant close mrt easy walk orchard 
71,74,0.0,0.673,0.327,0.8074,Mercure Singapore On Stevens,4,restaurants close early room service   small rooms location friendly staff awesome pool area multiple restaurants arounds  eleven 
72,75,0.244,0.609,0.147,-0.4588,Mercure Singapore On Stevens,3,lost ladies blazer reported missing reception house keeping emailed heard back disappointed certain location left behind hallway beside cleaners cart recommend hotel jacket returned 
73,76,0.087,0.722,0.19,0.4019,Mercure Singapore On Stevens,4,see lack staff counter waited long time get room access card please prepare coin plan laundry coin machine working room clean big 
