,hotelname,score,title,review
0,Royal Plaza on Scotts,7.0,“ 2D1N for a family staycation ”,"I booked 2rooms , one of the room 1333 bathroom door was not secured on the bottom track. Was afraid that it will fall when we slide the door .  The chair beside the bed can see dust on it. Love the location . It near to everywhere u want to go. I booked deluxe king but was upgrade to premier king as i needed 2 rooms to be close to each other. Stayed in October 2022"
1,Royal Plaza on Scotts,9.0,"“ excellent location, comfortable stay ”","slow room service. They don’t take calls after 8 pm easily if you call on landline. Best location, very clean, good veg food options in buffet. extremely comfortable stay. highly recommended and also for Indian vegetarian families Stayed in October 2022"
2,Royal Plaza on Scotts,9.0,“ not much of a variety for breakfast ”,nothing near shopping areas Stayed in September 2022
3,Royal Plaza on Scotts,7.0,“ Was not as we remembered it in September 2017 when we last stayed there. ”,That there was no Executive Lounge anymore!  We booked on the basis that this still existed with afternoon tea and evening cocktails and were not told in advance that it had been discontinued. Location and housekeeping. Our room was always made up to a high standard each day. Stayed in October 2022
4,Royal Plaza on Scotts,8.0,“ just nice ”,nothing strategic location for shopping Stayed in September 2022
5,Royal Plaza on Scotts,8.0,Very Good,"Near to Orchard Road - for shopping, food and MRT access. Easy connection to shops underground - good for rainy days - we did not get wet! Stayed in September 2022"
6,Royal Plaza on Scotts,8.0,“ satisfied and happy ”,"maybe the rooms need a little make over, they haven’t changed a lot since my last stay back in 2016 and I wouldn’t say that it is 5 star hotel maybe a really really good 4 star hotel. the staff was really friendly and helpful, messages were answered very quick and also my request for early check in and connected rooms were considered. I was so happy about it! the rooms were really clean and the location was perfect to explore Singapore! the mrt station was just a 5 min walk away and there were a lot (!!!) shopping malls and food places around the hotel. I would come back again :) Stayed in September 2022"
7,Royal Plaza on Scotts,8.0,"“ Very well located hotel in a very clean environment, which made us feel comfortable ”",Coffee machines at breakfast did not suit my taste Very clean rooms. Efficient lift service. The 11th floor looked better than the 10th floor where we stayed the previous week Stayed in September 2022
8,Royal Plaza on Scotts,7.0,“ We enjoyed our stay at this hotel and overall great value for money! ”,The warm breakfast choices could have been better. Staff do not upsell Singapore to tourists for some reason. They don't make recommendations for tourist attractions etc. neither do they give any local travel advice. Would suggest little more friendlier approach to customers as well. This does not only apply to the hotel but also to the taxi drivers. In most countries the taxi drivers love meeting tourists and conversing but in Singapore they just ask you for destination and at the end they give you the amount owing. Thats it! The room was clean and well serviced. The aircon was also very effective. Stayed in September 2022
9,Royal Plaza on Scotts,9.0,“ Good choice. ”,"a bit noisy but it's at day time so it's ok, The hotel should manage check in and check out line because some people do not on the line when other waited to check. Location , comfy bed, service Stayed in September 2022"
10,Royal Plaza on Scotts,7.0,“ adequate if one doesn’t use hotel facilities ”,"difficult to get cabs. amenities in room inadequate. should clean room every day, not alternate days (for the rates charged!) location Stayed in September 2022"
11,Royal Plaza on Scotts,8.0,“ Nice hotel with a good location ”,"The reception took so long to checking us in, almost took 45 mins to get the room only during check in Very good location in the middle of Orchard road Stayed in September 2022"
12,Royal Plaza on Scotts,8.0,“ good location for short stay ”,"none breakfast very basic, location city center Stayed in August 2022"
13,Royal Plaza on Scotts,9.0,“ totally loved it obviously ”,we’re foreigners so the breakfast buffet could have had a bit more variety it was in the heart of central business district. perfect location Stayed in August 2022
14,Royal Plaza on Scotts,7.0,,This review is hidden because it doesn't meet our guidelines.
15,Royal Plaza on Scotts,8.0,“ it’s a good stay overall. ”,"there is no cleaning of room during our stays. i can appreciate that this is due to COVID restrictions but I think at least there should be method for the guest to clear the garbage from the room, everyday. location and the bed size Stayed in July 2022"
16,Royal Plaza on Scotts,7.0,Good,The hotel only cleans your room every second day. For a hotel of this stature rooms should be cleaned every day and as early as possible for the guest's convenience. Stayed in August 2022
17,Royal Plaza on Scotts,9.0,“ will for sure stay at this hotel again ”,"nothing spacious room, perfect location(near to shopping and dining) Stayed in August 2022"
18,Royal Plaza on Scotts,9.0,Awesome,"Despite knowing the fact nobody is there to handle our baggage, it was still an unpleasant welcome. Hope they fix this soon. Location
Room size was great Stayed in August 2022"
19,Royal Plaza on Scotts,9.0,“ Good ”,"The taste of the breakfast The water pressure in the room is slow Stayed in August 2022"
20,Royal Plaza on Scotts,8.0,“ Comfortable stay at good location! ”,"The breakfast closes at 10 am. We as family with young kids, would have preferred if the breakfast timing was until 11am or at least until 10.30. The spread was fine but needs more vegetarian options. Room service as well should have good vegetarian options or snacks or at least could be more accommodating with such requests. We had booked super twin room for our family of 4 (2 adults + 2 kids) but it seemed bit small for us so requested them to check if any better options available. They suggested the junior suite at additional cost which we checked and took up. The check-in and check-out process was very smooth. The suite was very comfortable. The staff was excellent- very helpful and friendly. Breakfast was fine. Stayed in August 2022"
21,Royal Plaza on Scotts,7.0,“ Value for money in terms of room and location but lacking in service. ”,"There was no readily available concierge or bell service to help guests bring their luggage up to the room. Also, we noticed that the rooms were not cleaned daily. This is something expected when we book a hotel. Stayed in August 2022"
22,Royal Plaza on Scotts,8.0,Very Good,Breakfast is not interesting for me. Room size is good. Good location. Bed and pillow is comfy. Bathroom is clean. Stayed in July 2022
23,Royal Plaza on Scotts,8.0,“ Most relaxing staycation ”,None.. it was perfect staycation for me I like the welcoming decor  at the lobby. Seri from frontdesk was very warm and friendly. Love the breakfast very much. My surprise celebration  went smoothly Stayed in July 2022
24,Grand Copthorne Waterfront,7.0,“ incase u want the same location 2 otjer options and available like holiday inn and four points of sherton. ”,staff was not friendly and supportive location was good Stayed in October 2022
25,Grand Copthorne Waterfront,7.0,“ Good hotel with a beautiful view if you stay in a room overlooking the river. ”,"The hotel rooms are not modern and seem to not have been updated for a few years. In addition, there was quite a bit of dust behind the bed. Great location, close to downtown! Staff and service is excellent. Stayed in October 2022"
26,Grand Copthorne Waterfront,7.0,“ overall a good place ”,the price it was clean and upmarket but very expensive Stayed in September 2022
27,Grand Copthorne Waterfront,7.0,Good,"the carpet on the corridor  and room smells bad 
hot water not all the time
aircon didn’t work properly always at 18 degrees..which I get sick after the second night location
house keeping good 
concierge helpful Stayed in October 2022"
28,Grand Copthorne Waterfront,8.0,“ Will repeat if next time in Singapore ”,Early check in / small waiting area. Had booked 2 rooms and travelled for almost 24 hours and needed to crash in at least one of them approx 11-11.30 am. Would have been ok with even one of the 2. offered to pay extra.They did point us to the waiting area but that had only 4-5 chairs. May have been ok if there were more chairs in waiting are since its vastly empty Large room area as compared to Singapore standards. Good Location. Will be even better when Havelock Road Metro Starts which is literally 10-20 steps away from the hotel Stayed in September 2022
29,Grand Copthorne Waterfront,7.0,"“ good location, really helpful and professional concierge, nice lobby ”",the rooms a bit tired and basic the lobby Stayed in September 2022
30,Grand Copthorne Waterfront,7.0,"“ Great location, great breakfast, great comfort! ”","Some surfaces in the bathroom looked to be in need of repair.  Moreover, the WiFi login page would not work for me.  Granted, I am on a Linux Operating System and no doubt that is the reason.  However, I'm sure the hotel pays a company or service to set up and maintain the WiFi.  There's no good reason why that company can't ensure access even to Linux, and the hotel should demand it. I liked the room interior, the rooftop pool, and the breakfast.  Also, the location is excellent. Stayed in October 2022"
31,Grand Copthorne Waterfront,7.0,Good,Just out of the city so transport needdd Very good sized comfortable room Stayed in September 2022
32,Grand Copthorne Waterfront,7.0,"“ very pleasant, ”","food in the restaurant is quite expensive 😂, although 5 star hotel some room lack quality, doesn’t match the price. friendly staffs, very helpful Stayed in August 2022"
33,Grand Copthorne Waterfront,8.0,“ very expensive and unworthy ”,bad and very lead poor breakfast Clean and large club lounge room Stayed in September 2022
34,Grand Copthorne Waterfront,8.0,“ exceptable but not brilliant ”,"room was a little old and tired, the tv was small and unusable to be honest and needs some TLC the view Stayed in September 2022"
35,Grand Copthorne Waterfront,7.0,Good,"That there is no cocktail menu for poolside and room service variety is limited. Suite we were in could do with an update in deco The late check out, hair dresser on site Stayed in September 2022"
36,Grand Copthorne Waterfront,8.0,“ Overall good ”,"Tv channel limited choice. Check in was late and check out time too early Overall good, environment comfortable, staff approachable. Very good breakfast.Feel amaze with the Grisini dining, a great surprise for us. The staffs there also very professional and friendly. Food are wonderful. Stayed in September 2022"
37,Grand Copthorne Waterfront,6.0,“ It was Okay…. ”,The fridge did not work properly. The selection and reception of TV programs was terrible. There was construction going on outside which was noisy at times. Location and breakfast Stayed in September 2022
38,Grand Copthorne Waterfront,7.0,Good,I was only given 1 complimentary parking ticket per day. I was rejected when I asked for the 2nd ticket. I found that the car park was mostly empty hence I don't understand the rejection. Hotel should consider to provide for at least 2 coupons. Stayed in September 2022
39,Grand Copthorne Waterfront,8.0,Very Good,No rooms with balconies. Great location on the river with great views. The buffet breakfast was amazing. Stayed in September 2022
40,Grand Copthorne Waterfront,8.0,"“ Good value for money, a little further out than orchard road but taxis are cheap and plenty of ”",It’s what you expect for the cost Superb but you put on weight Stayed in September 2022
41,Grand Copthorne Waterfront,8.0,“ was comfortable and convenient ”,it was reasonably priced in a good location Stayed in September 2022
42,Grand Copthorne Waterfront,6.0,“ good but not as impressive as the photos ”,it was dated & staff were not friendly & accommodating the size of our room & the cocktails Stayed in September 2022
43,Grand Copthorne Waterfront,8.0,“ I will definitely stay here again. ”,To be honest i couldnt fault the hotel. The bed was so comfortable.The staff couldnt help enough. The hotel is so central and in a great area. Its a big room for the money you pay and has an awesome view. I was really pleased staying here. Stayed in September 2022
44,Grand Copthorne Waterfront,7.0,“ Nothing outstanding. For 24000yen -26000yen / night should  look for somehing better ”,Toilet was not of great standard. Flush without water jet or Bidet. Accessories were  very less Room size and staff were great Stayed in September 2022
45,Grand Copthorne Waterfront,6.0,“ I feel there is better hotels for the same money. ”,Rooms are very dated and cleaning was not done or not done well. Staff were friendly especially the concierge. Stayed in September 2022
46,Grand Copthorne Waterfront,7.0,Good,Some room smell like humidity Stayed in August 2022
47,Grand Copthorne Waterfront,8.0,Very Good,"Check in not ready even at 5.45pm. Hotel staff tried to convince me to take non-river view room (she said the water can be seen from the side!) Clean & quiet, spacious room. Good breakfast. Stayed in September 2022"
48,ibis Styles Singapore Albert,8.0,"“ Location is good, near food centre, walking 5-10 mins to bugis junction. Hotel room is clean. ”",Location is near mrt station. Stayed in October 2022
49,ibis Styles Singapore Albert,7.0,"“ Perfect hotel, really 8+ for their location ”","breakfast…. the location, great next to the metro Stayed in October 2022"
50,ibis Styles Singapore Albert,8.0,Very Good,no comment reasonable price Stayed in October 2022
51,ibis Styles Singapore Albert,8.0,Very Good,Rooms so small. Location nearby the subway and the kidness of the staff. Stayed in October 2022
52,ibis Styles Singapore Albert,7.0,Good,"lack of hairdryer, bad AC location Stayed in September 2022"
53,ibis Styles Singapore Albert,6.0,Pleasant,"There was a problem with my room and I was sent to a partner hotel further from the city. They were running maintenance work in the hotel, there was no access to swimming pool and gym, and breakfast was in a nearby cafe. They hold your deposit for 4 weeks after your stay... (?) The room was nice and clean and well designed. Stayed in September 2022"
54,ibis Styles Singapore Albert,8.0,“ no coffee for me when there is a hair in my cup ”,"cleanliness. I found a hair in my coffee cup accommodative staff, great location, good shower Stayed in September 2022"
55,ibis Styles Singapore Albert,7.0,Good,Rooms were quite small Near to eateries and .metro Stayed in September 2022
56,ibis Styles Singapore Albert,8.0,Very Good,Room size and noise from other guest rooms Staff alway ready to help Stayed in September 2022
57,ibis Styles Singapore Albert,6.0,“ Nice stay ”,"Breakfast was poor. Comfortable room, friendly staff. Stayed in August 2022"
58,ibis Styles Singapore Albert,8.0,“ Still good hotel ”,The bed was very hard but bearable The hotel was located in the right spot Stayed in September 2022
59,ibis Styles Singapore Albert,7.0,“ OK ”,"Pillows were too high
Extremely poor sound proof; could hear everything including continuous cough from next door guest.
Below average breakfast
Sticky floor after room service Friendly staff
Bottled water provided
Tidy room
Good air conditioning
Good Wi-Fi coverage
Very close to a train stop Stayed in September 2022"
60,ibis Styles Singapore Albert,6.0,“ Could be better ”,"No hot water on the first two days Small room with 2 single beds, very fonctional Stayed in August 2022"
61,ibis Styles Singapore Albert,2.0,"“ Ok, but be careful. ”","Caution the hotel takes a holding deposit (full room price) which it holds for up to a month and then charges you again the full amount for the room. Not only did they rip me off here but also tried to charge me again for breakfast that I had already paid for inclusive and then fully denied my daughter entry to the kitchen without paying further after already paying again. The facilities are very limited and the hotel is very crowded, I also found the staff to be only consumed with making more money off you and not concerned at all with any sort of service. Good location Stayed in September 2022"
62,ibis Styles Singapore Albert,2.0,Very Poor,Breakfast is not good.... Stayed in September 2022
63,ibis Styles Singapore Albert,10,“ Cheers ”,Nothing Nothing Nothing Nothing  Nothing Nothing Nothing Nothing  Nothing Nothing Nothing Nothing  Nothing Nothing Nothing Nothing  Nothing Nothing Nothing Nothing Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Fantastic Stayed in September 2022
64,ibis Styles Singapore Albert,1.0,“ Never ! ”,"Did not get the room we reserved,No hot water !Strong cigarette smell in the room,Unpleasant reception staff,No response to our complaints! Nothing! Stayed in September 2022"
65,ibis Styles Singapore Albert,9.0,“ Met all expectations and exceeded in some. ”,Breakfast coffee Location Stayed in August 2022
66,ibis Styles Singapore Albert,9.0,“ We will recommend our friends to this hotel. ”,"Sad to say,our first two nights at room 604,which is Delute Twin Beds,the beds move too easily,just too light.So whenever we turned our body,the bed will move too.
          Luckily the girl at the reception let us change our room to 406.Welldone to the girls,thanks alot. We like the room 406,the front door can be directly  ascess to the swimming pool,the little garden was nicely decorated too. Stayed in August 2022"
67,ibis Styles Singapore Albert,10,Exceptional,good one to stay Stayed in August 2022
68,ibis Styles Singapore Albert,8.0,Very Good,There are no comments available for this review Stayed in October 2022
69,ibis Styles Singapore Albert,6.0,Pleasant,There are no comments available for this review Stayed in September 2022
70,ibis Styles Singapore Albert,6.0,Pleasant,There are no comments available for this review Stayed in September 2022
71,ibis Styles Singapore Albert,8.0,Very Good,There are no comments available for this review Stayed in September 2022
72,Mercure Singapore On Stevens,6.0,"“ Good Location, Friendly Staff ”","The cost of the breakfast is crazy expensive and not worth it when you can walk into Orchard and eat for a fraction of the price and better food.We had some checkin issues that took a long time to fix and we were checked out after our first night and then needed to check back in which was annoying. This was bcoz we used booking.com to extend our stay and come one night earlier (pre done) but on their system it showed as two seperate bookings. The hotel gym is really good.The staff are pleasant.It is close to MRT and an easy walk into Orchard. Stayed in October 2022"
73,Mercure Singapore On Stevens,8.0,“ Had an awesome stay and would stay again. ”,Restaurants close early and no room service after 22:00 and how small the rooms are. Location and friendly staff. Awesome pool area and multiple restaurants arounds and 7-Eleven Stayed in October 2022
74,Mercure Singapore On Stevens,6.0,Pleasant,"we have lost a ladies blazer and reported it missing to reception house keeping and emailed them. we have not heard back and are very disappointed as we are certain of it’s location when it was left behind in the hallway beside the cleaners cart. 
will not recommend this hotel if the jacket isn’t returned. Stayed in October 2022"
75,Mercure Singapore On Stevens,8.0,Very Good,I can see there is lack of staff at counter. Waited long time to get my room access card. Please prepare your own coin if you plan to do your laundry here as the coin machine is not working. Room is clean & big Stayed in September 2022
76,Mercure Singapore On Stevens,8.0,“ overall good ”,nothing clean Stayed in October 2022
